timestamp,dms_cyclone_id,cyclone_health_score,cyclone_wear_rate_pct,feed_grade_pct,feed_size_mm,media_density_sg,cyclone_pressure_kpa,media_consumption_kg_t,media_recovery_pct,sink_grade_pct,float_grade_pct,sink_yield_pct,dms_recovery,separation_efficiency,ore_density_sg,density_differential,separation_sharpness_dms,media_efficiency,cyclone_health_efficiency_product,wear_impact_on_separation,pressure_utilization,media_consumption_efficiency,size_suitability_for_dms,coarse_fraction_ratio,size_density_interaction,sink_float_separation,yield_recovery_product,dms_upgrade_factor,dms_recovery_lag_1h,dms_recovery_lag_24h,dms_recovery_rolling_mean_24h,dms_recovery_rolling_std_24h,dms_recovery_variability_12h,dms_recovery_change_rate,dms_recovery_change_1h,dms_recovery_acceleration
2020-01-01 00:00:00,dms_cyclone_01,52.4,37.1,44.15,12.1,3.15,114.0,2.07,98.11,50.0,7.065,65.3,0.74,0.6,4.18,1.0299999999999998,2.0599999999999996,0.9811,31.439999999999998,0.37739999999999996,0.95,0.35576923076923084,1,0.484,12.462999999999997,7.067137809187279,0.48322000000000004,1.1322463768115942,,,0.74,,,,,
2020-01-01 04:00:00,dms_cyclone_01,82.2,1.9,46.65,17.9,2.89,117.0,1.01,98.91,50.0,6.51,67.3,0.722,0.651,4.02,1.1299999999999994,2.259999999999999,0.9891,53.51220000000001,0.638631,0.975,0.7078431372549019,1,0.716,20.22699999999999,7.668711656441718,0.48590599999999995,1.0715816545220747,0.74,,0.731,0.012727922061357866,0.012727922061357866,-0.024324324324324298,-0.018000000000000016,
2020-01-01 08:00:00,dms_cyclone_01,78.2,16.2,46.86,8.2,2.83,96.0,2.01,98.58,50.0,7.068,67.5,0.72,0.623,3.95,1.12,2.24,0.9858,48.7186,0.522074,0.8,0.3564356435643565,0,0.32799999999999996,9.184,7.064142413111049,0.486,1.0667804565820356,0.722,,0.7273333333333333,0.011015141094572205,0.011015141094572205,-0.0027700831024930483,-0.0020000000000000018,0.016000000000000014
2020-01-01 12:00:00,dms_cyclone_01,64.6,32.4,37.21,20.2,2.85,111.0,0.89,98.4,50.0,5.953,59.8,0.803,0.6,4.01,1.1599999999999997,2.3199999999999994,0.9840000000000001,38.76,0.40559999999999996,0.925,0.8922222222222222,1,0.8079999999999999,23.43199999999999,8.385041086701325,0.480194,1.3433637829124128,0.72,,0.74625,0.03888765871070157,0.03888765871070157,0.11527777777777781,0.08300000000000007,0.08500000000000008
2020-01-01 16:00:00,dms_cyclone_03,85.9,6.8,44.29,19.2,2.86,108.0,1.3,99.34,50.0,6.808,65.4,0.739,0.616,3.95,1.0900000000000003,2.1800000000000006,0.9934000000000001,52.9144,0.574112,0.9,0.5641221374045802,1,0.768,20.928000000000004,7.333528894103843,0.483306,1.1286681715575622,0.803,,0.7448,0.03383341543504,0.03383341543504,-0.0797011207970113,-0.06400000000000006,-0.14700000000000013
2020-01-01 20:00:00,dms_cyclone_01,68.5,25.4,39.48,17.3,3.08,90.0,0.74,98.73,50.0,6.317,61.6,0.78,0.6,3.86,0.7799999999999998,1.5599999999999996,0.9873000000000001,41.1,0.4476,0.75,1.04,1,0.6920000000000001,13.493999999999998,7.90263948158685,0.48048,1.2661433274246647,0.739,,0.7506666666666666,0.03350024875529537,0.03350024875529537,0.05548037889039237,0.041000000000000036,0.1050000000000001
2020-01-02 00:00:00,dms_cyclone_02,60.0,17.3,42.48,11.3,3.1,95.0,0.83,99.17,50.0,6.339,64.0,0.753,0.627,4.1,0.9999999999999996,1.9999999999999991,0.9917,37.62,0.518529,0.7916666666666666,0.8964285714285715,1,0.452,11.299999999999995,7.875255945818239,0.48192,1.1767474699929397,0.78,,0.751,0.03059411708155674,0.03059411708155674,-0.0346153846153846,-0.027000000000000024,-0.06800000000000006
2020-01-02 04:00:00,dms_cyclone_01,55.9,51.7,40.88,14.2,2.87,113.0,0.94,98.92,50.0,6.541,62.7,0.767,0.6,4.16,1.29,2.58,0.9892,33.54,0.28979999999999995,0.9416666666666667,0.8073684210526316,1,0.568,18.317999999999998,7.632422530911311,0.48090900000000003,1.2227928588897041,0.753,,0.753,0.028884004471085998,0.028884004471085998,0.01859229747675961,0.014000000000000012,0.041000000000000036
2020-01-02 08:00:00,dms_cyclone_03,71.5,47.9,45.12,9.7,3.09,85.0,1.16,98.83,50.0,7.22,66.1,0.732,0.6,4.18,1.0899999999999999,2.1799999999999997,0.9883,42.9,0.3126,0.7083333333333334,0.6256410256410256,0,0.38799999999999996,10.572999999999999,6.915629322268327,0.48385199999999995,1.1079104808331488,0.767,,0.7506666666666667,0.027910571473905757,0.027910571473905757,-0.04563233376792708,-0.03500000000000003,-0.049000000000000044
2020-01-02 12:00:00,dms_cyclone_02,60.2,39.7,45.83,10.9,3.0,81.0,2.23,99.18,50.0,7.333,66.7,0.727,0.6,4.2,1.2000000000000002,2.4000000000000004,0.9918,36.12,0.3618,0.675,0.32455357142857144,1,0.436,13.080000000000002,6.809206046574969,0.48490900000000003,1.0907504363001745,0.732,,0.7483,0.02735791577506513,0.02735791577506513,-0.006830601092896127,-0.0050000000000000044,0.030000000000000027
