timestamp,jig_id,jig_health_score,jig_wear_rate_pct,feed_grade_pct,stroke_length_mm,stroke_frequency_spm,water_flow_m3h_m2,bed_height_mm,hutch_water_m3h,concentrate_grade_pct,tailings_grade_pct,jig_recovery,separation_efficiency,feed_size_mm,ore_type,stroke_work_index,stroke_deviation_from_optimal,stroke_efficiency,water_to_bed_ratio,hutch_water_efficiency,hydraulic_regime,particle_size_jigging_factor,density_stratification_potential,bed_height_optimization,jig_health_separation_product,screen_wear_impact
2020-01-01 00:00:00,jig_01,85.9,21.9,43.8,16.8,235.0,2.1,275.0,1.41,48.0,8.114,0.466,0.471,10.2,oxide,3.948,0.052000000000000046,0.987,0.007636085960510528,0.32816901408450705,493.5,0.51,1.5,1.2222222222222223,40.4589,0.363946
2020-01-01 02:30:00,jig_02,97.7,7.8,38.09,21.1,184.0,3.72,261.0,1.3,48.0,5.478,0.558,0.589,8.0,carbonate,3.8824,0.11759999999999993,0.9706,0.014252327497030766,0.4259541984732825,684.48,0.4,1.5,1.16,57.5453,0.514476
2020-01-01 05:00:00,jig_04,68.3,16.1,35.1,15.4,247.0,2.83,273.0,1.62,44.32,6.757,0.4,0.45,16.8,oxide,3.8038000000000003,0.1961999999999997,0.9509500000000001,0.010365920662246805,0.24539877300613497,699.01,0.8400000000000001,1.5,1.2133333333333334,30.735,0.3356
2020-01-01 07:30:00,jig_03,97.2,0.0,41.33,24.4,195.0,2.17,236.0,1.17,48.0,7.956,0.423,0.45,15.5,carbonate,4.758,0.758,0.8105,0.009194525655692556,0.35847457627118645,423.15,0.775,1.5,1.048888888888889,43.74,0.423
2020-01-01 10:00:00,jig_01,68.9,35.1,41.63,15.1,238.0,2.04,223.0,2.4,48.0,6.696,0.459,0.54,16.8,oxide,3.5938,0.4062000000000001,0.89845,0.009147571857764226,0.19045643153526975,485.52,0.8400000000000001,1.5,0.9911111111111112,37.206,0.2978910000000001
2020-01-01 12:30:00,jig_04,85.0,19.0,47.56,19.7,175.0,3.76,254.0,2.27,48.0,8.759,0.408,0.474,10.2,oxide,3.4475,0.5525000000000002,0.861875,0.014802566828077634,0.17894736842105263,658.0,0.51,1.5,1.1288888888888888,40.29,0.33047999999999994
2020-01-01 15:00:00,jig_04,67.4,42.8,43.17,18.6,193.0,3.15,233.0,2.32,48.0,7.411,0.4,0.51,11.5,oxide,3.5898000000000003,0.4101999999999997,0.8974500000000001,0.013518733101583623,0.1716738197424893,607.9499999999999,0.575,1.5,1.0355555555555556,34.374,0.22880000000000003
2020-01-01 17:30:00,jig_04,58.6,27.2,41.45,18.9,169.0,3.45,248.0,2.26,48.0,7.373,0.4,0.492,15.8,carbonate,3.1940999999999997,0.8059000000000003,0.7985249999999999,0.013910729406072337,0.17621145374449343,583.0500000000001,0.79,1.5,1.1022222222222222,28.8312,0.2912
2020-01-01 20:00:00,jig_01,84.4,0.0,36.03,16.3,242.0,3.06,210.0,1.41,46.72,5.2,0.477,0.588,8.8,carbonate,3.9446000000000003,0.05539999999999967,0.9861500000000001,0.014570734726917767,0.3359154929577465,740.52,0.44000000000000006,1.5,0.9333333333333333,49.6272,0.477
2020-01-01 22:30:00,jig_04,86.3,18.4,49.64,23.0,230.0,3.16,186.0,1.94,48.0,5.144,0.588,0.704,20.8,oxide,5.29,1.29,0.6775,0.016988333960539757,0.30153846153846153,726.8000000000001,1.04,1.5,0.8266666666666667,60.755199999999995,0.47980799999999996
2020-01-02 01:00:00,jig_02,74.6,29.5,46.06,24.1,207.0,3.76,172.0,1.74,48.0,6.892,0.406,0.573,21.5,carbonate,4.988700000000001,0.9887000000000006,0.7528249999999999,0.021859194232893436,0.232,778.3199999999999,1.075,1.5,0.7644444444444445,42.745799999999996,0.28623
2020-01-02 03:30:00,jig_01,65.2,18.0,37.41,21.7,173.0,2.83,260.0,1.55,48.0,5.519,0.442,0.578,11.0,oxide,3.7540999999999998,0.24590000000000023,0.9385249999999999,0.010884196761663014,0.2833333333333333,489.59000000000003,0.55,1.5,1.1555555555555554,37.6856,0.36244
