timestamp,total_power_kw,apparent_power_kva,reactive_power_kvar,plant_power_factor,crushing_power_kw,screening_power_kw,gravity_separation_power_kw,magnetic_separation_power_kw,flotation_power_kw,dms_power_kw,thickening_power_kw,filtration_power_kw,pumping_power_kw,conveying_power_kw,compressed_air_power_kw,water_treatment_power_kw,base_load_kw,operational_factor,is_peak_hours,is_off_peak,maintenance_mode,shift,energy_cost_kwh,hourly_energy_cost,demand_charge_exposure,hour_of_day,day_of_week,month,is_weekend
2020-01-01 00:00:00,2630.0,2975.0,1391.0,0.884,200.0,92.0,158.0,25.0,1133.0,528.0,38.0,553.0,286.0,175.0,193.0,95.0,201.0,0.75,False,True,False,3,0.0561,147.65,54.79,0,2,1,False
2020-01-01 01:00:00,1983.0,2320.0,1204.0,0.855,200.0,106.0,98.0,31.0,688.0,320.0,51.0,456.0,292.0,132.0,183.0,52.0,201.0,0.75,False,True,False,3,0.0561,111.35,41.32,1,2,1,False
2020-01-01 02:00:00,2103.0,2318.0,974.0,0.907,200.0,117.0,135.0,22.0,790.0,347.0,47.0,400.0,318.0,145.0,218.0,68.0,201.0,0.75,False,True,False,3,0.0561,118.07,43.81,2,2,1,False
2020-01-01 03:00:00,2516.0,2911.0,1463.0,0.864,200.0,85.0,139.0,32.0,1271.0,363.0,52.0,426.0,286.0,210.0,219.0,79.0,201.0,0.75,False,True,False,3,0.0561,141.27,52.42,3,2,1,False
2020-01-01 04:00:00,2518.0,2931.0,1500.0,0.859,200.0,92.0,130.0,28.0,1014.0,414.0,48.0,558.0,396.0,191.0,251.0,73.0,201.0,0.75,False,True,False,3,0.0561,141.39,52.47,4,2,1,False
2020-01-01 05:00:00,2166.0,2555.0,1356.0,0.848,200.0,92.0,150.0,27.0,1007.0,445.0,38.0,255.0,247.0,155.0,257.0,52.0,201.0,0.75,False,True,False,3,0.0561,121.6,45.12,5,2,1,False
2020-01-01 06:00:00,2926.0,3236.0,1382.0,0.904,200.0,85.0,117.0,26.0,933.0,358.0,41.0,357.0,398.0,120.0,202.0,75.0,201.0,1.0,False,False,False,3,0.0802,234.72,60.97,6,2,1,False
2020-01-01 07:00:00,3107.0,3552.0,1721.0,0.875,200.0,107.0,106.0,22.0,1025.0,423.0,52.0,471.0,205.0,208.0,212.0,68.0,201.0,1.0,True,False,False,3,0.1203,373.79,64.73,7,2,1,False
2020-01-01 08:00:00,2852.0,3211.0,1474.0,0.888,200.0,84.0,130.0,34.0,845.0,421.0,54.0,393.0,205.0,219.0,214.0,50.0,201.0,1.0,True,False,False,1,0.1203,343.17,59.42,8,2,1,False
2020-01-01 09:00:00,3001.0,3495.0,1792.0,0.859,200.0,95.0,153.0,32.0,946.0,381.0,37.0,460.0,256.0,142.0,206.0,85.0,201.0,1.0,True,False,False,1,0.1203,361.03,62.52,9,2,1,False
2020-01-01 10:00:00,3511.0,3993.0,1900.0,0.879,200.0,121.0,124.0,36.0,1083.0,528.0,46.0,489.0,395.0,187.0,198.0,88.0,201.0,1.0,True,False,False,1,0.1203,422.47,73.16,10,2,1,False
2020-01-01 11:00:00,3238.0,3542.0,1435.0,0.914,200.0,115.0,164.0,23.0,1045.0,331.0,42.0,564.0,319.0,164.0,201.0,61.0,201.0,1.0,True,False,False,1,0.1203,389.6,67.46,11,2,1,False
2020-01-01 12:00:00,3223.0,3707.0,1830.0,0.87,200.0,103.0,113.0,36.0,980.0,423.0,49.0,421.0,382.0,213.0,204.0,86.0,201.0,1.0,False,False,False,1,0.0802,258.54,67.16,12,2,1,False
2020-01-01 13:00:00,3141.0,3643.0,1846.0,0.862,200.0,99.0,159.0,24.0,904.0,429.0,39.0,570.0,314.0,125.0,231.0,55.0,201.0,1.0,False,False,False,1,0.0802,251.91,65.43,13,2,1,False
